measurement_type,measurement_value,rmse,mae
Clumpy,1,0.050636502629239,0.050636502629239
Monotonic,0,3.02219501268543e-5,3.02219501268543e-5
Monotonic,0.5,4.58427101607817e-5,4.58427101607817e-5
Monotonic,1,7.98326030235774e-5,7.98326030235774e-5
Skinny,0,0.0114922274939826,0.0114922274939826
Skinny,0.5,2.52292926494757e-6,2.52292926494757e-6
Skinny,1,0.0387459827844122,0.0387459827844122
Sparse,0,0.061662881658371,0.061662881658371
Sparse,0.5,0.100567950015711,0.100567950015711
Sparse,1,0.581637022255857,0.581637022255857
Stringy,0,9.39143501126972e-5,9.39143501126972e-5
Stringy,0.5,0.0022168276606146,0.0022168276606146
Stringy,1,0,0
Convex,0,0,0
Convex,0.5,3.74665083169301e-6,3.74665083169301e-6
Convex,1,0.00297029702970297,0.00297029702970297
Skewed,0,0.135428828570917,0.135428828570917
Skewed,0.5,7.40571987956073e-6,7.40571987956073e-6
Skewed,1,0.00739779086092118,0.00739779086092118
Clumpy,0,6.9859506137665e-5,6.9859506137665e-5
Clumpy,0.5,6.05272742926211e-7,6.05272742926211e-7
Striated,0,0,0
Striated,0.5,0,0
Striated,1,0.0408163265306123,0.0408163265306123
Outlying,0,0,0
Outlying,0.5,1.16054975612956e-6,1.16054975612956e-6
Outlying,1,1.8117882693014e-6,1.8117882693014e-6
